State,overallRank,higherEducationRank,prek12Rank,amountPerPupil
Massachusetts,1,27,1,16197
New Jersey,2,30,2,18920
Florida,3,1,27,9075
Washington,4,2,19,11989
New Hampshire,5,37,3,15683
Nebraska,6,7,9,12579
Virginia,7,14,8,11886
Vermont,8,41,4,18290
Iowa,9,8,13,11461
Utah,10,6,22,7179
Colorado,11,9,14,9809
Connecticut,12,44,5,19322
Maryland,13,17,11,14848
Wisconsin,14,11,16,11968
Kansas,15,13,15,10961
Wyoming,16,3,34,16537
Minnesota,17,20,12,12647
South Dakota,18,10,23,9939
Illinois,19,31,7,15337
North Dakota,20,5,35,13760
California,21,4,37,12143
New York,22,15,25,23091
Delaware,23,16,24,15302
Indiana,24,39,6,10045
North Carolina,25,12,28,9072
Montana,26,19,20,11443
Missouri,27,26,21,10589
Maine,28,34,17,13690
Hawaii,29,21,30,14322
Georgia,30,25,31,10205
Ohio,31,38,18,12645
Pennsylvania,32,50,10,15798
Idaho,33,35,26,7486
Texas,34,32,33,9375
Tennessee,35,23,38,9184
Oregon,36,22,39,11264
Michigan,37,42,29,11907
Kentucky,38,43,32,10121
Oklahoma,39,28,43,7940
Arizona,40,24,44,8003
Rhode Island,41,48,36,15943
Arkansas,42,40,40,9967
South Carolina,43,46,41,10590
West Virginia,44,45,42,11554
Nevada,45,18,48,9320
Mississippi,46,33,45,8771
Alaska,47,36,47,17838
Louisiana,48,49,46,11199
New Mexico,49,29,50,9881
Alabama,50,47,49,9511
